lyric,label
"Vou esperar a lua voltar Eu quero entrar na mata aê  Eu vou tirar madeira boa Pro meu berimbau fazer        Vou esperar a lua voltar      Eu quero entrar na mata aê       Eu vou tirar madeira boa      Pro meu berimbau fazer   Madeira boa é como amizade Mas é difícil de se encontrar A amizade eu guardo no peito E da madeira vou fazer meu berimbau   Se Mestre Bimba estivesse aqui Pra me ensinar a escolher madeira Eu entrava agora na mata Tirava Ipê e Pau Pereira   A noite vem eu entro na mata Lua clareia, vou procurar Jequitibá e maçaranduba O guatambu eu devo achar   Na velha África se usava o Ungo Nas grandes festas religiosas O Kingenge é um dialeto Umbundo É o berimbau que conquistou o mundo   Na lua cheia vou colher os frutos e na minguante eu tiro a madeira vou pra fazer o meu berimbau vou pra tocar na capoeira    ",axe
"A long time ago, in a galaxy far away The evil empire was building a force, destroying all in its way Lord Vader, he's the man in black Helmet of steel helps him to breathe, and with Jedi force he attack    The death star is near But the rebels have no fear The dark side of the force They'll never join Star Wars, the rebel fleet is on the way Star Wars, they have come to save the day, Star wars    A new hope is here, and he's gonna save us all He is so young but his force is so strong, Luke Skywalker is his name Our freedom, he's gonna bring back He has come to lead us into the light, it's time to stand up and fight    He flies among the stars With the speed of light he goes The dark side of the force He'll never join    Yoda my master Teach me how to fight The evil Lord Vader Is dying here to night    ",axe
"O grave bateu Rabeta no chão    (Rabeta no chão!) (Rabeta no chão!)    Rabeta, rabeta, rabeta Rabeta, rabeta, rabeta no chão Joga a rabeta no chão Que parada é essa? (Rabeta no chão!)    Ao mando do solinho Elas não se dão Acompanha o grave, prepara, novinha Pra jogar a rabeta no chão Eu sei, você quer Seu olhar não esconde Chegou o momento, é agora, novinha E faz o teu nome    O grave bateu Rabeta no chão Rabeta no chão! Joga a rabeta no chão Joga a rabeta no chão (Rabeta no chão!)    Vem jogando, vem Vem jogando, vem, vem Vem jogando, vem Vem jogando, vem, vem Vem jogando, vem (Rabeta no chão!)    Acompanha o solinho Popô vai no chão Mais um hit vai bater nesse verão Eu sei, você quer Seu olhar não esconde Chegou o momento, é agora, novinha E faz o teu nome    O grave bateu Rabeta no chão Rabeta no chão! Rabeta, rabeta, rabeta Rabeta, rabeta, rabeta no chão Joga a rabeta no chão Joga a rabeta no chão    (Rabeta no chão!) (Rabeta no chão!)    Rabeta, rabeta, rabeta Rabeta, rabeta, rabeta no chão    ",axe
"Chegue, chegue, chegue Tem festa no Candeal Batuque no Canjerê Eu vou levar meu timbal Tocar samba pra você Tem festa no Candeal Batuque no Canjerê Eu vou lavar meu timbal Tocar samba pra você    Não fico quieto quando vejo num boteco Tamborim com reco-reco, xequerê a chacoalhar Bate, bate, bate Esquenta a mão nesse couro Cante, cante, cante Acorda que o dia nasceu Bate, bate, bate Esquenta a mão nesse couro  Cante, cante, cante Acorda que o dia nasceu    Levada louca             Levada louca    ",axe
"Eu estou desempregado Meu sapato está furado, A camisa já rasgou A calça desbotada, Sem dinheiro no bolso Meu crédito acabou Mas eu não desanimo Pois eu sei que é o Senhor Que está provando a minha fé Eu sigo trabalhando E ganhando muitas almas Pra Jesus de Nazareth    A prova está doendo Jesus, Ela me faz chorar Me dá logo a vitória Senhor, Desse jeito eu não vou agüentar A prova está doendo Jesus, Ela me faz chorar Me dá logo a vitória Senhor, Desse jeito eu não vou aguentar    Eu não tenho casa própria E em carro nem se fala Aí eu sofro com o aluguel A conta de luz vem alta A água sempre falta Eu só olho para o céu Deus me diz que sou soldado E que estou sendo treinado Pra na guerra entrar Mas quando eu estiver pronto Inimigo sai da frente Que Deus vai te massacrar    Moro longe da igreja, Não possuo bicicleta, Tenho mesmo que ir a pé Com meu violão nas costas, A Bíblia do lado, As crianças e a mulher Mas vou cantando, vou alegre Vou falando em mistério E me humilhando em oração Essa vitória já é minha Já é minha pelo sangue de Jesus, Cante comigo essa canção.    ",axe
"Não dá pra esconder O que eu sinto por você, Ara Não dá Não dá, não dá, não dá    Só sei que o corpo estremece As pernas desobedecem Inconscientemente a gente dança As mãozinhas estão e balançam Quando passa eu vou atrás Só sei que o Araketu é bom demais    Êo êo êa-êa-ô êa-êa-ô    Dancei Eu quebrei balancei, vibrei O Araketu me fez dançar Bota as mãozinhas pro ar Dancei Eu quebrei balancei, vibrei O Araketu me fez dançar    Êo êo êa-êa-ô êa-êa-ô    Dancei Eu quebrei balancei, vibrei O Araketu me fez dançar Bota as mãozinhas pra cima, comigo vai, que bonito    ",axe
"Sá rainha me chamou, Me chamou pra curiá. Mas eu já vou sá rainha Caminhando devagar. Curia tatá, curia tá, curia tatá, curia tá Curia tá curia tá curia tatá curia tá    Sá rainha conga chega na janela. Sá rainha conga chega na janela. Venha ver marujo que já vai pra guerra. Venha ver marujo que já vai pra guerra.    Ê santana! Ê santana, a mamãe do Rosário, é santana!    Beija-flor! Beija-flor! Beija nossa senhora do andor! Beija nossa senhora do andor!    ÔÔÔÔ glória! O rosário de Maria.    ",axe
Que beijinho doce Que ele tem Depois que eu beijei ele Nunca mais amei ninguém    Que beijinho doce Foi ele quem trouxe De longe pra mim Se me abraço apertado Suspiro dobrado Que amor sem fim    Coração quem manda Quando a gente ama Se eu estou junto dele Sem dar um beijinho Coração reclama    Que beijinho doce Foi ele quem trouxe De um longe pra mim Abraço apertado Suspiro dobrado Que amor sem fim    ,axe
"Fiquei sabendo, tem um tal de Pepeu Que canta rap bem melhor do que eu Em matéria de combate, vamos combater Agora espero só você aparecer    Estou pintando, estou chegando agora Se a guerra não termina juro que não vou embora Só quero ver se você não desafina Me levando no rap quatro nomes de meninas    Rute, Carolina, Bete, Josefina Acabei de lhe dar quatro nomes de meninas Rute, Carolina, Bete, Josefina Acabei de lhe dar quatro nomes de meninas    Agora continuo nesse som que vou levar É de dar água na boca de vontade de dançar Um, dois, três, quatro, cinco mil    É jogada ensaiada, tudo coisa de rotina Se você não tá ligado, por favor desbaratina Me dê sua resposta ou saia de fina Se não souber levar oito nomes de meninas    Rute, Carolina, Bete, Josefina Marcela, Ivete, Rosa e Regina Rute, Carolina, Bete, Josefina Marcela, Ivete, Rosa e Regina    Muito bem, você até que não é mal Esse rap em conjunto tá ficando legal    Só tem alguma coisa que preciso entender De onde, de que lado, você veio aparecer? Sem deixar vestígio, endereço, telefone Se não falha a memória, já não sei qual o seu nome    Meu nome é Peu, sou Pepeu para você Sempre estive ao seu lado, só você que não me vê Se somos um, eu só quero saber Se me acompanha no bop que agora vou fazer    There I was just walkin' down the street, When these real fine ladies said, Come have a seat. I tried to sit down, in the chair, And my butt just spreaded it everywher    Rute, Carolina, Bete, Josefina Acabei de lhe dar quatro nomes de meninas Rute, Carolina, Bete, Josefina Acabei de lhe dar quatro nomes de meninas    Só quero ver se você não desafina Me levando no rap quatro nomes de meninas Quatro é muito fácil, vou mudar a sua sina Quero ver você levar oito nomes de meninas    Rute, Carolina, Bete, Josefina Marcela, Ivete, Rosa e Regina Rute, Carolina, Bete, Josefina Marcela, Ivete, Rosa e Regina    ",axe
É diferente vem com a gente quero ver geral pirado Nessa dança muito louca eu não quero ninguem parado E jogue seus braços pra trás balança seu pescoço No swing da batida com um morto muito louco    Para para papa papa para para para para papa papa Êêê    É diferente vem com agente quero ver geral pirado Nessa dança muito louca eu não quero ninguem parado E jogue seus braços pra trás balança seu pescoço No swing da batida com um morto muito muito louco    Para para papa papa para para para para papa papa Êêê    É diferente vem com agente quero ver geral pirado Nessa dança muito louca eu não quero ninguem parado E jogue seus braços pra trás balança seu pescoço No swing da batida com um morto muito muito louco    Para para papa papa para para para para papa papa Êêê    É diferente vem com agente quero ver geral pirado Nessa dança muito louca eu não quero ninguem parado E jogue seus braços pra trás balança seu pescoço No swing da batida com um morto muito muito louco    Para para papa papa para para para para papa papa Êêê    ,axe
"Morte que mataste Lira, Morte que mataste Lira, Morte que mataste Lira, Mata-me a mim, que sou teu!  Morte que mataste lira Mata-me a mim que sou teu  Mata-me com os mesmos ferros Com que a lira morreu    A lira por ser ingrata Tiranicamente morreu  A morte a mim não me mata Firme e constante sou eu  Veio um pastor lá da serra À minha porta bateu  Veio me dar por notícia Que a minha lira morreu    ",axe
O vento faz rendez-vous No seu cabelo alinhado Acostumado com meu embolado Acho que o passo é do seu sapato    Dona Naná tá danada O santo dela desceu A jangada tá lavada Entre nela mais eu    Vumbora amar Embora mais eu Vumbora amar Embora mais eu    Eu deixaria a areia Coberta de você No seu cabelo enrolado Leve um cacho de dendê    Salte que o salto É do seu sapato Passe que o espaço É do seu cavalgo    Minha inha Minha inha Minha inha Minha inha    ,axe
Yo no sé porque razón cantarle a ella Si debía aborrecerla con las fuerzas De mi corazón Todavía no la borro totalmente Ella siempre esta presente Como ahora en esta canción    Incontables son las veces que he tratado De olvidarla y no he logrado Arrancarla ni un segundo de mi mente Porque ella sabe todo mi pasado Me conoce demasiado Y es posible que por eso se aproveche    Porque yo en el amor soy un idiota Que ha sufrido mil derrotas Que no tengo fuerzas para defenderme Pero ella casi siempre se aprovecha Unas veces me desprecia Y otras veces lo hace para entretenerme Y es así    Hoy recuerdo la canción que le hice un día Y en el fondo no sabia Que eso era malo para mi Poco a poco fui cayendo en un abismo Siempre me paso lo mismo Nadie sabe lo que yo sufrí    Una victima total de sus antojos Pero un día abrí los ojos Y con rabia la arranque de mi memoria Poco a poco fui saliendo hacia adelante Y en los brazos de otra amante Pude terminar al fin con esta historia    Todo fue así Todo fue por ella    Yo la quería yo la adoraba Pero tenia que aborrecerla    Como yo quise a esa mujer Porque pensaba que era buena    Yo era capaz de subir al cielo Para bajarle un montón de estrellas    Un pajarito que iba volando Yo lo cogí para complacerla    Tanto se burlo de mi Que ahora no puedo verla    ,axe
"Toda hora me vem um desejo Até a lua sabe o segredo de nós dois A lenda de um amor Um conto de paixão e prazer    Fogo que acende me queima Essa loucura toda que eu só sinto por você Ainda sei de cór Seu gosto, seu gemido, o seu cheiro    Olha Faça valer a nossa história Nossos momentos bons de glória e paz De sintonia e desejo    O meu coração cheio de paixão Bate por você Preciso te dizer te amo Uuhhh O meu coração cheio de paixão Bate por você Preciso te dizer te amo Uuhhh Eu te amo    Toda hora me vem um desejo Até a lua sabe o segredo de nós dois A lenda de um amor Um conto de paixão e prazer    Fogo que acende me queima Essa loucura toda que eu só sinto por você Ainda sei de cór Seu gosto, seu gemido, o seu cheiro    Olha Faça valer a nossa história Nossos momentos bons de glória e paz De sintonia e desejo    O meu coração cheio de paixão Bate por você Preciso te dizer te amo Uuhhh O meu coração cheio de paixão Bate por você Preciso te dizer te amo Uuhhh Eu te amo    ",axe
"Ai, se a saudade apertar Venha pra cá pro meu coração Ai, se quiser me encontrar Eu vou brincar no camaleão E vou cantar pra você    Esse amor é tão forte que chega a doer Amar é bom, amar é bom demais Esse amor é tão forte que chega a doer Amar é bom, amar é bom demais    Eu fiz de tudo pra poder te amar Me encantei com sua beleza Eu fiz de tudo pra poder lhe conquistar Valeu a pena com certeza Agora eu vou atrás Atrás do meu amor Sei que tenho que esquecer Esquecer o que passou Mas se quiser viver amor de carnaval Quem sabe vou deixar Vou deixar você me beijar    ",axe
"Sabe, já faz tempo, Que eu queria te falar Das coisas que eu trago no peito Saudade, Já não sei se é a palavra certa para usar Ainda lembro do seu jeito Não te trago ouro, Porque não entra no céu E nenhuma riqueza deste mundo Não te trago flores, Porque elas secam e caem ao chão Te trago os meus versos simples, Mas que eu fiz de coração. Sabe, já faz tempo, Que eu queria te falar Das coisas que eu trago no peito Saudade, Já não sei se é a palavra certa para usar Ainda lembro do seu jeito Não te trago ouro, Porque não entra no céu E nenhuma riqueza deste mundo Não te trago flores, Porque elas secam e caem ao chão Te trago os meus versos simples, Mas que fiz de coração    ",axe
"Sementes de cores vivas Acendem novas recordações E o vento solta faíscas Bordando belas constelações Bordando belas constelações Que rondam o céu E o coração Enbalançando-se nas ondas de um baião Licor de mel Doce canção Animando o carrossel No luar do meu sertão Deixa que o fogo semeie na escuridão O amor, uô, uô, ô (bis) Somente se fores vivo Verás as cores desses balões Que fingem-se de estrelas, bailando livre com seus clarões E se descer Estende a mão Quem sabe o fogo te ilumine na escuridão Não vai doer Não diga não O fogo é pra derreter O gelo do coração Deixa que o fogo semeie na escuridão O amor uô, uô, ô    ",axe
"So many lovers, too many nights Face in the mirror that keeps you alive So close together, so far apart I'm so afraid without you    Rain on the river, I'll never cross Wind on the ocean, the feeling is lost I still believe that you cry for me Will I survive without you?    Like a fool, I was waiting Like a fool, for you to come back Fool, I was standing alone in the rain Like a fool, I was dreaming Like a fool, to lose you this way And now I'm just fooling myself    Foi tanto que eu te amei e não sabia Que pouco a pouco eu, eu te perdia Eu te amo    E aquele louco amor inesquecível Tirar do coração é impossível Eu te amo    Te amei demais, enlouqueci Brigas banais, te perdi    O tempo já passou E eu não consigo calar meu coração E as vezes digo que te amo    Like a fool, I was waiting Like a fool, for you to come back Fool, I was standing alone in the rain Like a fool, I was dreaming Like a fool, to lose you this way And now I'm just fooling myself    ",axe
"Vem de lá, chega mais Se preparem pra quebrar Com o corpo da morena E o seu cabelo no mar    Pareô de Bali Osso de baleia Toca de siri Jipe, jegue na areia    Cacho de coco, caiu E se espalhou pelo chão Abaixa, requebra ligeiro Sacode batendo na palma da mão    Coco verde, coco mole, Coco belo, coco bole    ",axe
"E eu tão só, morena, e eu tão só Tomará que tu me venhas Num canto de carimbó    Em Marapanim, quando a lua se levanta Traz junto com ela o suor da multidão E na amplidão ressoa forte o pé Que levantando o pó do chão Põe no meu coração o carimbó    E eu tão só, morena, e eu tão só Tomará que tu me venhas Num canto de carimbó    Vi tua anágua voando pelo céu Rasguei morena, meu sonho de papel Dizemos como linha e carretel Giramos como gira o carrossel    E eu tão só, morena, e eu tão só Tomará que tu me venhas Num canto de carimbó    ",axe
"Quando eu te vejo, paro logo em teu olhar O meu desejo é que eu possa te beijar Sentir seu corpo, me abrigar em seu calor Pois o que eu quero é ganhar o seu amor    E fico assim querendo o seu prazer Eu não resisto um minuto sem te ver Sua presença alegra meu coração Foi pra você que eu fiz essa canção    Vem, meu amor, me tirar da solidão Vem, meu amor, me tirar da solidão Vem para o Olodum, vem dançar no Pelô Vem, meu amor, chega pra cá, me dar a mão    Vem, meu amor, me tirar da solidão Vem, meu amor, me tirar da solidão Vem para o Olodum, vem dançar no Pelô Vem, meu amor, chega pra cá, me dar a mão    E fico assim o tempo todo a te esperar Até que um dia você possa se tocar E vir correndo me tirar da solidão E só assim conquistarei seu coração    Vem, meu amor, me tirar da solidão Vem, meu amor, me tirar da solidão Vem para o Olodum, vem dançar no Pelô Vem, meu amor, chega pra cá, me dar a mão    Quando eu te vejo, paro logo em teu olhar O meu desejo é que eu possa te beijar Sentir seu corpo, me abrigar em seu calor Pois o que eu quero é ganhar o seu amor    Vem, meu amor, me tirar da solidão Vem, meu amor, me tirar da solidão Vem para o Olodum, vem dançar no Pelô Vem, meu amor, chega pra cá, me dar a mão    Vem, meu amor, me tirar da solidão Vem, meu amor, me tirar da solidão Vem para o Olodum, vem dançar no Pelô Vem, meu amor, chega pra cá, me dar a mão    E fico assim querendo o seu prazer Eu não resisto um minuto sem te ver Sua presença alegra meu coração Foi pra você que eu fiz essa canção    Vem, meu amor, me tirar da solidão Vem, meu amor, me tirar da solidão Vem para o Olodum, vem dançar no Pelô Vem, meu amor, chega pra cá, me dar a mão    Vem, meu amor, me tirar da solidão Vem, meu amor, me tirar da solidão Vem para o Olodum, vem dançar no Pelô Vem, meu amor, chega pra cá, me dar a mão    ",axe
"DSTs sabem o que quer dizer? Estou aqui só para te explicar DSTs sabem o que quer dizer? Estou aqui só para te explicar São as Doenças Sexualmente Transmissíveis Que só contrai quem não sabe se cuidar São inúmeras as doenças Qualquer um pode pegar Mas prá quem tem consciência Nunca o risco correrá Entre as DSTs Algumas são mais graves Como a Hepatite B e C Sífilis e AIDS Mas atenção que essas quatro doenças Não é só pelo sexo, que se pega Os contatos com sangues, não testados Seringas e agulhas, contaminados Da mãe pro filho pode haver transmissão E isso acontece na gestação!    Que sexo é bom Ninguém duvída       Mas sem cuidado Ele fere a nossa vida    Herpes Genital é DST Condiloma é DST Gonorréia é DST HPV é DST Existem outras doenças Que são DSTs Porém, essas são as mais comuns Usem sempre camisinha Prá não se contaminar Que é também prá quem não quer engravidar Diminua os parceiros Não se arrisque em quantidades Comece a investir na qualidade Mas se alguns desses problemas Estão a te atormentar É só ajuda você procurar Em um serviço de saúde Eles vão te orientar A maneira mais correta de tratar    Que sexo é bom Ninguém duvída        Mas sem cuidado Ele fere a nossa vida    ",axe
"Moro... Num país tropical, Abençoado por Deus E bonito por natureza (Mas que beleza!)    Em fevereiro (Em fevereiro) Tem carnaval (Tem carnaval) Eu tenho um fusca e um violão, Sou Flamengo e tenho uma nêga chamada Tereza    ""Sambaby"", ""Sambaby"" Sou um menino de mentalidade mediana (Pois é) Mas assim mesmo, feliz da vida Pois eu não devo nada a ninguém (Pois é) Pois eu sou feliz, muito feliz comigo mesmo...    Moro... Num país tropical, Abençoado por Deus E bonito por natureza (Mas que beleza!)    Em fevereiro (Em fevereiro) Tem carnaval (Tem carnaval) Eu tenho um fusca e um violão, Sou Flamengo e tenho uma nêga chamada Tereza    ""Sambaby"", ""Sambaby"" Eu posso não ser um Band Leader (Pois é) Mas assim mesmo, namorado, gato, papagaio, todo mundo me respeita. Essa é a razão da simpatia, do poder do algo mais e da alegria...    Moro... Num país tropical, Abençoado por Deus E bonito por natureza (Mas que beleza!)    Em fevereiro (Em fevereiro) Tem carnaval (Tem carnaval) Eu tenho um fusca e um violão, Sou Flamengo e tenho uma nêga chamada Tereza...    ""Mor... No patropi, Abençoá por Dê E boni por naturê (Mas que Belê!)""    ""Em feverê (Em feverê) Tem carná (Tem carná) Eu tenho um fuca um vió Sou flamen e tenho uma nêga chamá Terê Do meu Brasil""    ",axe
